term_str,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
advice,0.05000000029525443,1.77673195783649,0.05,0.05,0.9749785584379518,0.8147785500575654,0.05,5.308440972663757,1.244619709931751,0.05000000062004575,0.40520194016275923,0.05,0.050000002497818476,0.05000000007206593,16.87235828452615,0.0500000001834479,0.11923756885915493,0.050000000093122554,0.05,7.933652453724303
affair,0.05023210285987007,0.05000000009005146,0.05,0.05,0.05,0.05,0.05,1.0741954681462298,0.05000000182611741,0.05000000266488205,0.05000000050852086,0.05,1.2776369594650907,0.05,4.603085244701804,0.05000000036969467,0.05,1.2448502180065995,0.05,0.05000000132826581
affection,0.05,0.050000000640784234,1.2157496392454885,0.05,0.05,0.05000000062669908,0.05,3.5271045668519863,0.05000000041782431,0.05,0.050000000500032726,0.05,0.8532603495572548,0.05,0.05000020009757292,0.05,0.7954976094601531,0.05000000025729558,1.0500000000589829,2.8583876322569357
afford,0.05,1.9180250691586367,0.05,0.05,0.05,0.05,0.05,1.978130963001013,0.05,0.050000000651768545,3.6580154140422794,0.05,0.05000000008846189,0.05000000101189797,1.2486525406408984,0.05,0.05,0.05,0.05,1.447176011369591
afraid,0.050000258209660885,1.049999999960042,0.05,0.05,1.0500000000936636,0.05,0.05,5.905118513013239,0.05,0.05000000045449186,1.2495469189507458,0.05,1.2060900690913496,1.414898324939759,9.428293277559744,0.05000000008010494,2.7843409068160825,0.05,0.05,3.361711730793506
aftermath,0.05,0.05000000136788018,0.05,0.05,0.05,0.05,0.05,4.588723675539905,0.05000000013730322,0.05000000046602973,0.0500000010020094,0.05,0.05000000040585346,0.05273740582354668,1.7929970200354475,1.1006479108088976,0.0500000005677555,0.7148939836164602,0.05,0.05000000019882502
afternoon,0.0511657087164779,3.7294048727433307,0.20494898175070875,0.05,0.057815733435579136,0.05028893756138186,0.05,22.68993457251511,0.05000000024486182,6.733895950567804,4.92011262471327,0.05,2.051361765392522,1.5105134375720322,53.56153054206725,0.05000000011484262,3.7666546144372477,4.069891478128709,3.0500000003133576,5.30248077969036
afterward,0.05,0.05000000003974985,0.05,0.05,0.05,0.05,0.05,0.7874521973835863,0.05,0.05,0.050000000832426214,0.05,0.05000000041702398,0.05000000042492234,6.287045907471331,0.05,1.0755018932123241,0.05,0.05,0.05000000019403519
age,3.9535688346700666,1.724051454468673,3.199390145323554,0.05,0.050000000105046565,2.704533981020622,0.05,25.503381177781986,0.05000000002290765,0.05000000000638146,3.9347365490719244,0.05,2.2125367633729844,2.0500000000245406,14.89165493058495,0.05000000006619054,6.743422272219605,0.05000000018753706,0.8819707528080002,11.800753138229814
ages,0.9501022579039565,0.8299458952646777,0.050000000353047275,0.05,0.6456086539418283,0.05,0.05,7.610260230150283,1.3318043359302192,7.835068169215911,0.664048591794581,0.05,1.2441434804149367,0.05000000018292167,27.69708853513713,0.050000002150374104,3.7439163719799664,0.21818433125572406,0.05000000001162358,1.8298291442780088
