term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
carried,0.008985018460129663,-0.006027156600063278,-0.0009610301903214087,-0.00567532411168356,0.004984809534157434,-0.003248893797621841,-0.0032426234737139427,-0.005499414474447203,-0.0001011318423240642,-0.010960310412368713
wands,0.045105486362343024,-0.06809743961581158,0.060113348595776495,0.015697690570879327,0.019671094860541614,-0.0034107974125152135,0.04510518510708226,-0.027182757717454445,-0.11155383174968649,0.011839013334832522
twelve,0.00513312631311035,0.0034122727916247315,-0.03689983219702417,0.02391022280655051,-0.024603859726838716,-0.014866899058601325,0.0008810981686411079,-0.0071167388077365175,-0.006554166434615918,0.0033020877723527534
moments,0.018979667232385984,-0.004028017224913214,-0.014405173715438842,-0.005585768243734673,-0.0012044232936562862,-0.014101469071090172,-0.02892389658614103,-0.029721891591425367,-0.006793744073608076,-0.02119676171937879
eagerly,-0.003341957446308908,0.022844310470929052,-0.0024015379906096087,-0.013155776344863633,0.017528991450076102,-0.0044027724037422255,0.01648073794918151,0.004098154825985334,0.010374116887512172,-0.015932210787655013
showing,-0.005744895760465088,0.018356857700728462,-0.008197898393652182,-0.010668839607145713,0.01861156092338104,0.002584238918713371,-0.0024720459691479632,-0.02397420610955806,-0.020214445511909953,-0.011000232419415031
split,0.011778843907820307,-0.0059734980869542605,0.012118628990375304,-0.010784269359776357,-0.005035036947090493,-0.0019641760896155418,0.01067323594008287,-0.023859834478211685,-0.006293802082237331,-0.004315341841724093
growing,0.015085071252861801,0.0004288107481203112,0.007372808001089442,-0.0012467036869614546,0.012089815762055076,-0.001403649737974868,0.004211154302697247,0.022967230245886608,-0.015525264940836524,-0.014051719482532787
snarled,0.02039475891142561,-0.01282079400616921,-0.010812160130910959,0.018017948509332922,-0.005707152306270062,-0.024847821742191054,-0.0019526278478701473,0.03213607373071589,-0.03483248578774107,0.017851064802774153
eyebrows,-0.003961602043744452,0.027954118688800392,-0.005441257136486953,-0.02205659097289046,0.03982526927066068,-0.02048757179436853,-0.029190888353389274,-0.026329187476055903,0.0010239912792441063,-0.00764758590727222
hot,-0.0013315266299346617,-0.004082282096796833,0.006144603130493946,-0.006736471137204563,0.016095077519523274,0.006488167614105756,0.006988481276418504,-0.030135928018919716,-0.020274086637672266,-0.006829023515797097
handed,0.009638236673651742,0.0360217675615696,0.003847536162286402,-0.009593450679662094,-0.012442704039576266,0.0021485315285128224,0.009939218632063757,-0.0064897975244926,-0.0035134920806228036,-0.0038360609835164858
passing,-0.0034838337459580848,0.021630486548377112,-0.01920604629563317,-0.011060928376970126,0.004339093632323836,-0.0007409483100010989,-0.0024304718097010983,-0.020522316015533774,0.0008883459157345618,-0.02940067679838736
force,0.021289538372330368,-0.0054124641060489,0.021374398182874645,-0.01911812643526486,0.014861723387157307,-0.009882638763157078,-0.004105715038094314,0.004869549917160155,-0.012455611914769972,0.019701329239282594
falling,0.01672553799603858,-0.006995332604659007,0.038231930632172194,0.0033177565344140723,0.009204474722902969,-0.01076998926944828,-0.019166410589953616,0.008380290380768528,0.008064213385937222,-0.01759281996895027
son,0.06475860663429266,-0.034446716401021316,-0.06706841978408293,0.0030980577474819903,-0.05392697021094541,0.0036472432573697246,-0.04829947455191355,0.10171288160346005,0.03247898988276458,-0.01435495787717857
match,-0.08767954850722014,0.09069807642943584,0.14698108012542863,0.1553517180341854,-0.12929750386957736,-0.0488141721264412,-0.06217128278547476,-0.04871583819354692,0.09535408854319939,0.0006025373268056904
cut,0.019853248646022302,-0.008540623088752744,0.000935296570889946,-0.008399756696672651,0.022542433525824145,-0.015577309131230134,0.026081379332365987,0.0023530260076701243,-0.028758118328603782,-0.02798704352080985
giant,-0.05569824264537173,-0.04276133195120503,0.0021155082442457173,-0.016379106824091293,0.020700562409316357,-0.0027862091881118182,0.02112785038732861,0.008088040994068929,0.012203179573264875,-0.05253344807329717
bet,-0.02464127887858465,0.02090252285735424,-0.013492587266875168,0.01686335463304877,0.01017077659692077,-0.004540228522409782,-0.0047154523044290195,-0.005921385164060216,0.0010685098005377394,-0.016626770001910495
tight,0.020182079170427348,-0.02045257164269272,0.004469671878308317,0.014132659811766847,-0.0003156007591934089,-0.011297113509257013,-0.008460028944963774,-0.003979340440766614,-0.034102653578272836,-0.0001761248771846519
rolled,-0.003088033496011862,-0.004838995957484558,0.001833761729628482,0.02369574086055364,0.023474904262481024,0.005763004933354979,0.020702928227531187,0.01731069185178611,-0.01803344818118132,0.016551269000934912
doubt,0.018490662347417808,0.011839779921668138,-0.013715802769730997,-0.024873457897414485,0.004840571974502549,0.0030647875219295294,-0.041990604470361986,-0.016407632124489206,0.009354372568959806,0.0014436741641465046
shoulders,0.0063019551458427135,-0.01033319131464546,0.005354522614012519,0.008187159743386525,0.008221176679627087,-0.0023234740932624905,-0.009312582942449927,-0.01754710599656358,-0.020832767161385626,-0.02046825827399786
creatures,-0.0606253653101211,-0.0004206023835941853,-0.016433604151429693,-0.03411603407991731,0.027583661997148495,-0.025420456936166357,-0.016213331709227938,0.028505171678117763,-0.011400902018720377,-0.03986935467750942
attack,0.0016741460143522157,-0.009834987956628016,0.021988124385347897,-0.010660963509263165,0.01612010131271375,-0.013796609269259887,0.004784479755853857,0.01426656361557743,0.03799302004112717,-0.013218805674966923
unable,0.01751064980450638,-0.013355240549490445,0.014501793035561409,-0.004846105357466575,0.01624680025296523,-0.015641198249783175,-0.0077677379574431354,-0.024518971764904002,0.015045939435703906,-0.021748206569201088
thinks,0.005387266718074106,0.01395745982761779,-0.022640135545129263,-0.0048071142097872764,0.0014603369326683976,-0.023378221410524827,-0.01523143198416706,-0.02227883488398326,0.012079889110079105,0.014129003272716727
surely,0.005571163411741709,-0.006110482926885092,-0.005360483090567009,-0.02334055040428427,0.010192907048728718,-0.016024714407672024,-0.01800725236611675,-0.03350210155667957,-0.011354424976429358,0.0030589993082890195
spells,0.009295784366941624,-0.0036372157540408385,0.0025022609130116325,-0.008559063446247394,0.02399730290164963,-0.03418351299956639,0.034531307690728916,-0.060378691886975984,-0.028952011240932177,0.007806861446012968
memory,0.011065115358080248,0.054583887073236574,0.008973029493501946,-0.12619990017515598,-0.04293200644446514,0.014857919016457121,-0.07268784320856554,-0.0121385765109478,0.052745255414702624,-0.04365558377363378
notice,-0.000782152251038425,0.02418253007099312,-0.002833798403839154,-0.012226876746527738,0.016919594781445155,-0.020759763314664805,-0.03870410504762997,-0.005439742932457654,0.013006682982592511,0.008316829877017947
brightly,0.0047418612573436585,0.017685380536058202,-0.025012213338733356,0.005016852584788337,0.005773046659343461,0.007118502696573317,0.004325435579982548,-0.008371556821716902,0.0043125311949363445,-0.027952274481963843
bottom,0.01185751251093563,-0.00975213206349142,-0.013412285300833778,-0.0014794384924764839,-0.006463791692400179,0.0069417362957532305,0.02164269758388678,0.0027707107940854667,-0.04021758879039978,0.009676465525020758
